Дата,ticker,Вход,Стоп,Тейк
2023-01-08 06-00-00,STMXUSDT,0.00379,0.00375,0.00387
2023-01-08 19-30-00,BNBUSDT,267.7,260.5,280.66
2023-01-09 00-30-00,ALCXUSDT,14.9,14.2,16.16
2023-01-09 02-30-00,XRPUSDT,0.3513,0.3381,0.37506
2023-01-11 08-30-00,FISUSDT,0.4887,0.3886,0.66888
2023-01-13 14-30-00,OPUSDT,1.473,1.38,1.6404
2023-01-13 20-00-00,OPUSDT,1.61,1.38,2.024
2023-01-14 00-30-00,SOLUSDT,18.65,16.46,22.592
2023-01-14 05-30-00,SOLUSDT,22.84,16.46,34.324
2023-01-14 05-30-00,FRONTUSDT,0.1984,0.1876,0.21784
2023-01-14 06-30-00,SXPUSDT,0.2661,0.2438,0.30624
2023-01-14 06-30-00,LINKUSDT,6.934,6.26,8.1472
2023-01-15 16-30-00,TRBUSDT,15.72,14.75,17.466
2023-01-20 14-30-00,ETHUSDT,1564.43,1507.9,1666.184
2023-01-20 21-00-00,OOKIUSDT,0.00373,0.0035,0.00414
2023-01-20 21-30-00,SOLUSDT,24.35,20.86,30.632
2023-01-21 06-30-00,OPUSDT,2.384,1.744,3.536
2023-01-22 14-00-00,AXSUSDT,10.49,8.86,13.424
2023-01-26 04-00-00,CRVUSDT,1.063,0.98,1.2124
2023-01-26 12-00-00,STPTUSDT,0.04186,0.03829,0.04829
2023-01-27 18-00-00,HIFIUSDT,0.5246,0.4916,0.584
2023-01-29 00-00-00,WTCUSDT,0.2399,0.231,0.25592
2023-01-29 14-30-00,BNBUSDT,318.0,303.6,343.92
2023-01-31 16-30-00,SXPUSDT,0.2855,0.2794,0.29648
2023-02-02 15-30-00,RUNEUSDT,1.931,1.849,2.0786
2023-02-04 13-00-00,XRPUSDT,0.4125,0.4075,0.4215
2023-02-04 17-30-00,XRPUSDT,0.4133,0.4075,0.42374
2023-02-08 05-00-00,FISUSDT,0.8065,0.691,1.0144
2023-02-12 07-30-00,WTCUSDT,0.2358,0.2278,0.2502
2023-02-14 10-00-00,WTCUSDT,0.2241,0.22,0.23148
2023-02-14 15-30-00,FISUSDT,0.576,0.5308,0.65736
2023-02-14 19-00-00,RUNEUSDT,1.7,1.62,1.844
2023-02-15 19-00-00,SOLUSDT,22.75,21.45,25.09
2023-02-15 19-30-00,STPTUSDT,0.04629,0.04282,0.05254
2023-02-15 22-30-00,TRBUSDT,17.32,15.84,19.984
2023-02-18 23-30-00,PNTUSDT,0.2266,0.2023,0.27034
2023-02-23 16-30-00,TRBUSDT,20.42,18.53,23.822
2023-02-24 08-30-00,STPTUSDT,0.0523,0.04791,0.0602
2023-02-24 14-00-00,ALCXUSDT,22.7,21.77,24.374
2023-02-25 08-00-00,KNCUSDT,0.938,0.831,1.1306
2023-02-27 15-00-00,KNCUSDT,0.894,0.871,0.9354
2023-03-01 10-30-00,ALCXUSDT,23.78,21.75,27.434
2023-03-06 07-00-00,EURUSDT,1.0594,1.0546,1.06804
2023-03-06 14-00-00,EURUSDT,1.0605,1.0546,1.07112
2023-03-07 20-30-00,XRPUSDT,0.3827,0.3678,0.40952
2023-03-10 16-00-00,BNBUSDT,275.2,265.0,293.56
2023-03-13 00-00-00,CRVUSDT,0.97,0.841,1.2022
2023-03-14 14-30-00,FRONTUSDT,0.221,0.207,0.2462
2023-03-14 14-30-00,PNTUSDT,0.2362,0.2117,0.2803
2023-03-14 15-00-00,MATICUSDT,1.2427,1.1415,1.42486
2023-03-17 13-30-00,XRPUSDT,0.3774,0.3665,0.39702
2023-03-18 04-00-00,LUNAUSDT,1.4783,1.3745,1.66514
2023-03-23 08-30-00,AXSUSDT,8.52,8.22,9.06
2023-03-26 01-30-00,FISUSDT,0.5123,0.4983,0.5375
2023-03-26 16-00-00,FISUSDT,0.5555,0.4983,0.65846
2023-03-29 05-00-00,AXSUSDT,8.33,7.9,9.104
2023-03-29 09-00-00,MTLUSDT,1.19,1.139,1.2818
2023-03-30 06-00-00,ARBUSDT,1.345,1.1957,1.61374
2023-04-02 17-30-00,APTUSDT,12.4681,11.1489,14.84266
2023-04-08 03-00-00,APTUSDT,11.283,11.0632,11.67864
2023-04-10 22-30-00,SXPUSDT,0.6417,0.6088,0.70092
2023-04-12 04-00-00,EURUSDT,1.0879,1.0861,1.09114
2023-04-13 14-00-00,CRVUSDT,1.06,1.014,1.1428
2023-04-14 00-30-00,XRPUSDT,0.5156,0.5073,0.53054
2023-04-14 02-30-00,XRPUSDT,0.5196,0.5073,0.54174
2023-04-15 15-30-00,ARBUSDT,1.724,1.6467,1.86314
2023-04-16 05-30-00,TRBUSDT,16.19,15.56,17.324
2023-04-18 11-30-00,LINKUSDT,8.67,8.03,9.822
2023-04-18 13-00-00,LINKUSDT,8.77,8.03,10.102
2023-04-18 23-00-00,LUNAUSDT,1.4407,1.383,1.54456
2023-04-22 19-00-00,ALCXUSDT,18.24,17.77,19.086
2023-04-27 17-30-00,BNBUSDT,333.7,328.2,343.6
2023-04-29 22-30-00,EURUSDT,1.1028,1.1006,1.10676
2023-05-03 21-00-00,ETHUSDT,1894.45,1842.64,1987.708
2023-05-03 21-30-00,WTCUSDT,0.19,0.1837,0.20134
2023-05-04 00-00-00,SOLUSDT,22.3,21.23,24.226
2023-05-05 11-00-00,MTLUSDT,1.164,1.125,1.2342
2023-05-10 05-00-00,ARBUSDT,1.1331,1.0913,1.20834
2023-05-23 09-30-00,CRVUSDT,0.875,0.838,0.9416
2023-05-25 21-30-00,MTLUSDT,1.075,0.973,1.2586
2023-05-28 00-30-00,BNBUSDT,307.7,304.1,314.18
2023-05-28 21-00-00,LTCUSDT,90.6,88.92,93.624
2023-05-28 21-30-00,XRPUSDT,0.4805,0.4713,0.49706
2023-05-29 00-00-00,ARBUSDT,1.2592,1.179,1.40356
2023-05-29 01-00-00,LINKUSDT,6.659,6.462,7.0136
2023-05-29 02-30-00,ALCXUSDT,17.68,16.99,18.922
2023-05-29 04-00-00,HIFIUSDT,0.3482,0.3408,0.36152
2023-06-01 11-30-00,PNTUSDT,0.1201,0.114,0.13108
2023-06-01 13-30-00,PNTUSDT,0.1245,0.114,0.1434
2023-06-13 18-30-00,PNTUSDT,0.0977,0.0948,0.10292
2023-06-18 13-30-00,SHIBUSDT,1e-05,1e-05,1e-05
2023-06-19 20-30-00,CRVUSDT,0.634,0.609,0.679
2023-06-24 00-00-00,AXSUSDT,5.82,5.3,6.756
2023-06-27 13-00-00,HIFIUSDT,0.37,0.3116,0.47512
2023-06-30 12-00-00,PNTUSDT,0.1084,0.1026,0.11884
2023-06-30 12-30-00,ETHUSDT,1907.99,1841.38,2027.888
2023-07-03 17-30-00,OOKIUSDT,0.00251,0.0024,0.0027
2023-07-08 08-00-00,FRONTUSDT,0.1727,0.1573,0.20042
2023-07-08 14-30-00,OOKIUSDT,0.00291,0.0027,0.00328
2023-07-08 21-30-00,SHIBUSDT,1e-05,1e-05,1e-05
2023-07-09 04-30-00,ARBUSDT,1.1422,1.1105,1.19926
2023-07-11 12-30-00,FLMUSDT,0.0707,0.066,0.07916
2023-07-12 00-30-00,LOOMUSDT,0.05599,0.04612,0.07376
2023-07-13 08-30-00,KNCUSDT,0.598,0.571,0.6466
2023-07-13 09-00-00,LINKUSDT,6.35,6.2,6.62
2023-07-13 13-30-00,BTCUSDT,30637.06,30210.0,31405.768
2023-07-13 15-00-00,LINKUSDT,6.478,6.211,6.9586
2023-07-13 15-00-00,AXSUSDT,6.2,5.88,6.776
2023-07-13 19-00-00,LINKUSDT,6.928,6.211,8.2186
2023-07-14 00-00-00,SNXUSDT,2.193,1.993,2.553
2023-07-14 00-00-00,BNBUSDT,257.8,242.7,284.98
2023-07-14 02-00-00,OPUSDT,1.398,1.346,1.4916
2023-07-14 11-00-00,LOOMUSDT,0.05339,0.04597,0.06675
2023-07-15 10-30-00,DOGEUSDT,0.07507,0.06769,0.08835
2023-07-15 12-30-00,STPTUSDT,0.04648,0.04352,0.05181
2023-07-21 15-00-00,SNXUSDT,3.171,2.971,3.531
2023-07-25 13-30-00,ETHUSDT,1863.2,1846.49,1893.278
2023-07-28 23-30-00,AUCTIONUSDT,8.38,6.57,11.638
2023-07-29 19-30-00,XRPUSDT,0.7135,0.7071,0.72502
2023-07-31 09-00-00,EURUSDT,1.0985,1.0963,1.10246
2023-08-02 01-00-00,HIFIUSDT,0.3258,0.3177,0.34038
2023-08-03 17-00-00,FRONTUSDT,0.148,0.1453,0.15286
2023-08-04 11-30-00,SHIBUSDT,1e-05,1e-05,1e-05
2023-08-04 14-30-00,FLMUSDT,0.0643,0.0622,0.06808
2023-08-06 06-00-00,BLZUSDT,0.0506,0.0493,0.05294
2023-08-07 10-00-00,FLMUSDT,0.0664,0.0636,0.07144
2023-08-08 15-30-00,SXPUSDT,0.3264,0.3186,0.34044
2023-08-08 17-00-00,SHIBUSDT,1e-05,1e-05,1e-05
2023-08-08 18-00-00,SXPUSDT,0.3296,0.3186,0.3494
2023-08-09 05-30-00,SHIBUSDT,1e-05,1e-05,1e-05
2023-08-10 19-30-00,LOOMUSDT,0.04656,0.04616,0.04728
2023-08-11 06-30-00,BLZUSDT,0.0534,0.0524,0.0552
2023-08-11 19-30-00,HIFIUSDT,0.3293,0.3165,0.35234
2023-08-11 23-00-00,STPTUSDT,0.04738,0.04671,0.04859
2023-08-12 14-00-00,BLZUSDT,0.0619,0.0534,0.0772
2023-08-20 05-00-00,FLMUSDT,0.0573,0.0546,0.06216
2023-08-20 17-30-00,PNTUSDT,0.1022,0.0956,0.11408
2023-08-25 17-00-00,FRONTUSDT,0.1457,0.1412,0.1538
2023-09-02 04-00-00,WLDUSDT,1.195,1.1,1.366
2023-09-02 15-00-00,MTLUSDT,1.125,1.088,1.1916
2023-09-04 02-30-00,XRPUSDT,0.5092,0.5036,0.51928
2023-09-04 16-00-00,LUNAUSDT,0.4652,0.3909,0.59894
2023-09-05 14-30-00,AUCTIONUSDT,4.53,4.36,4.836
2023-09-08 20-30-00,FRONTUSDT,0.1681,0.1616,0.1798
2023-09-09 00-00-00,FRONTUSDT,0.17,0.1616,0.18512
2023-09-11 00-00-00,BLZUSDT,0.1449,0.1153,0.19818
2023-09-13 20-00-00,WTCUSDT,0.145,0.1411,0.15202
2023-09-14 14-00-00,XRPUSDT,0.4863,0.4799,0.49782
2023-09-15 21-00-00,LINKUSDT,6.247,6.099,6.5134
2023-09-16 00-00-00,SNXUSDT,2.192,2.107,2.345
2023-09-18 10-30-00,WLDUSDT,1.361,1.266,1.532
2023-09-20 03-00-00,XRPUSDT,0.5207,0.5111,0.53798
2023-09-21 14-30-00,RUNEUSDT,1.819,1.744,1.954
2023-09-23 13-30-00,GFTUSDT,0.0151,0.01253,0.01973
2023-09-24 01-30-00,ANTUSDT,4.842,4.534,5.3964
2023-09-24 01-30-00,ANTUSDT,4.842,4.521,5.4198
2023-09-24 03-00-00,GFTUSDT,0.02033,0.0124,0.0346
2023-09-24 03-30-00,DATAUSDT,0.0228,0.02203,0.02419
2023-09-24 17-30-00,JASMYUSDT,0.00372,0.00363,0.00389
2023-09-25 01-00-00,COMPUSDT,40.88,39.86,42.716
2023-09-25 09-00-00,WLDUSDT,1.699,1.571,1.9294
2023-09-25 21-30-00,OAXUSDT,0.1648,0.1619,0.17002
2023-09-26 00-30-00,STORJUSDT,0.3867,0.3252,0.4974
2023-09-26 05-30-00,OAXUSDT,0.1709,0.1619,0.1871
2023-09-26 22-30-00,ACHUSDT,0.01582,0.01527,0.01681
2023-09-26 23-00-00,ALCXUSDT,13.75,12.16,16.612
2023-09-27 00-30-00,MCUSDT,0.3376,0.3207,0.36802
2023-09-27 03-00-00,OOKIUSDT,0.00177,0.00172,0.00185
2023-09-27 04-30-00,MCUSDT,0.354,0.3207,0.41394
2023-09-27 07-30-00,FIDAUSDT,0.1636,0.1571,0.1753
2023-09-27 09-00-00,DATAUSDT,0.02288,0.02244,0.02367
2023-09-27 11-30-00,ATOMUSDT,7.057,6.938,7.2712
2023-09-27 22-30-00,MKRUSDT,1500.0,1404.0,1672.8
2023-09-28 01-00-00,ANTUSDT,5.058,4.884,5.3712
2023-09-28 06-00-00,BCHUSDT,236.7,211.9,281.34
2023-09-28 07-30-00,BCHUSDT,237.9,228.9,254.1
2023-09-29 16-30-00,STORJUSDT,0.4437,0.3956,0.53028
2023-09-29 18-00-00,LEVERUSDT,0.00224,0.00211,0.00247
2023-09-30 16-30-00,APTUSDT,5.4765,5.3197,5.75874
2023-09-30 18-00-00,MKRUSDT,1533.0,1473.0,1641.0
2023-09-30 19-00-00,DOGEUSDT,0.06264,0.06173,0.06428
